global_step,episode,episode_reward,episode_len,success,collision,mean_dist,final_dist
25666,243,12.782923,235,1,0,3.027454,0.474614
25870,244,-35.047247,204,0,1,10.098464,8.562661
26358,245,-108.525120,488,0,1,10.368132,15.150062
26671,246,-64.834651,313,0,1,4.373168,5.482861
27156,247,-63.455066,485,0,1,8.528197,2.623889
27424,248,-55.310923,268,0,1,6.355592,7.226533
27533,249,22.640487,109,1,0,2.352137,0.480874
28033,250,-43.880767,500,0,0,6.286361,1.054097
28225,251,24.045707,192,1,0,4.689337,0.483584
28725,252,-45.333638,500,0,0,7.978890,0.932079
29225,253,-62.278825,500,0,0,6.278849,1.171890
29247,254,-18.335155,22,0,1,4.987844,4.749938
29645,255,-73.979435,398,0,1,3.855232,5.843647
29748,256,26.010044,103,1,0,2.511194,0.476734
30248,257,-61.777100,500,0,0,4.096839,1.952245
30293,258,-26.135865,45,0,1,12.279303,11.807904
30687,259,-8.916030,394,1,0,2.932268,0.497624
30729,260,-20.939429,42,0,1,14.511500,13.841172
30997,261,-28.754993,268,0,1,5.473226,1.106233
31497,262,-73.614198,500,0,0,3.452026,7.038045
31930,263,-10.603762,433,1,0,3.171028,0.487427
32430,264,-64.849538,500,0,0,3.302453,3.181190
32641,265,-52.313220,211,0,1,5.814960,6.425942
32997,266,-75.067902,356,0,1,9.057676,10.640048
33269,267,11.649407,272,1,0,2.675249,0.493567
33637,268,9.292742,368,1,0,7.233192,0.494665
33693,269,-23.141379,56,0,1,8.663549,7.971847
34193,270,-51.670096,500,0,0,3.797463,3.591279
34358,271,-33.272972,165,0,1,3.590753,2.471484
34571,272,-16.277707,213,0,1,7.564501,2.413779
34754,273,17.641160,183,1,0,2.749978,0.490813
35002,274,-33.840465,248,0,1,7.727772,4.126990
35090,275,-27.293461,88,0,1,13.269718,13.126677
35206,276,28.729063,116,1,0,2.951860,0.489936
35552,277,-42.265728,346,0,1,7.005269,2.458221
35647,278,-25.405222,95,0,1,5.622334,4.886836
36000,279,-24.866724,353,0,1,9.838048,4.404425
36057,280,-18.191564,57,0,1,2.169138,1.354000
36074,281,-18.562197,17,0,1,13.328129,13.192122
36274,282,-32.887869,200,0,1,4.154430,2.894189
36514,283,-53.643550,240,0,1,4.940444,3.863712
36592,284,25.573877,78,1,0,2.001979,0.496534
36794,285,-40.839381,202,0,1,1.923674,3.049679
36862,286,-20.942410,68,0,1,4.178500,2.875882
36946,287,28.844612,84,1,0,1.809584,0.483245
37163,288,-36.350432,217,0,1,2.975439,0.618606
37232,289,-14.560820,69,0,1,11.056058,8.947012
37519,290,-63.873351,287,0,1,9.714842,11.997019
37552,291,29.997800,33,1,0,1.385221,0.462022
38052,292,-136.635892,500,0,0,13.145066,13.140792
38170,293,23.284932,118,1,0,2.890442,0.435794
38386,294,28.529893,216,1,0,5.221097,0.486479
38413,295,-20.592206,27,0,1,9.284468,9.152581
38913,296,-56.829611,500,0,0,2.210860,0.574119
38947,297,-22.180836,34,0,1,2.424577,2.185193
39200,298,3.784655,253,1,0,3.016418,0.488278
39331,299,29.851989,131,1,0,4.410668,0.485131
39366,300,-17.045081,35,0,1,2.965856,2.230172
39866,301,-141.790825,500,0,0,6.442932,6.445877
39897,302,-18.864481,31,0,1,5.682433,5.463721
40184,303,8.912908,287,1,0,5.216005,0.488187
40221,304,-20.939203,37,0,1,7.068786,7.394578
40290,305,31.548420,69,1,0,2.403076,0.455455
40390,306,30.971757,100,1,0,3.195097,0.462122
40531,307,22.986087,141,1,0,2.490255,0.496402
40556,308,-16.929482,25,0,1,3.744107,3.271893
40703,309,-30.966956,147,0,1,6.569974,5.032768
41037,310,-22.276000,334,0,1,9.866794,2.685451
41052,311,-18.732549,15,0,1,7.332669,7.468019
41231,312,21.019051,179,1,0,3.337659,0.470014
41516,313,9.751599,285,1,0,3.926421,0.490157
41623,314,26.284183,107,1,0,3.264722,0.482182
41676,315,28.599310,53,1,0,1.662479,0.496255
41720,316,31.144468,44,1,0,1.752107,0.455637
41783,317,-21.171196,63,0,1,4.702449,4.114560
41934,318,30.149538,151,1,0,4.108398,0.498482
42108,319,29.047624,174,1,0,4.565515,0.495053
42189,320,-23.553052,81,0,1,2.288143,1.120257
42309,321,24.918631,120,1,0,2.770577,0.497686
42602,322,17.381668,293,1,0,5.452500,0.489875
42818,323,12.151013,216,1,0,3.857398,0.464478
43016,324,-36.673431,198,0,1,3.442718,2.445779
43149,325,-16.703914,133,0,1,5.479973,3.499184
43243,326,26.174170,94,1,0,2.618490,0.487437
43537,327,-57.790853,294,0,1,2.665482,1.995760
43721,328,28.821406,184,1,0,4.297098,0.493752
43746,329,-20.814052,25,0,1,8.806855,8.648473
43817,330,-21.921120,71,0,1,6.172060,6.084869
43856,331,-20.161084,39,0,1,9.011956,8.705319
43883,332,-20.191883,27,0,1,5.155442,5.061188
44312,333,-55.289745,429,0,1,7.053012,0.810483
44706,334,14.498701,394,1,0,4.233646,0.480677
44842,335,32.385901,136,1,0,4.220899,0.474432
45005,336,31.205508,163,1,0,3.792782,0.482098
45183,337,20.648873,178,1,0,4.497130,0.460167
45238,338,31.224579,55,1,0,1.634431,0.489670
45417,339,-16.561261,179,0,1,7.281197,2.966229
45917,340,-56.811627,500,0,0,2.571511,4.742453
45932,341,-18.188760,15,0,1,7.777473,7.574930
46153,342,-40.095899,221,0,1,5.405008,5.619030
46162,343,-16.979147,9,0,1,9.332395,9.367291
46361,344,-17.412196,199,0,1,5.365119,0.913856
46555,345,-21.294077,194,0,1,6.477205,2.588527
46639,346,-16.022391,84,0,1,4.100816,1.732565
46714,347,-31.454287,75,0,1,11.987728,11.878753
46909,348,-38.621938,195,0,1,6.094232,5.206139
47185,349,23.640753,276,1,0,5.471886,0.479882
47196,350,-18.920746,11,0,1,6.988277,7.148944
47220,351,-20.142730,24,0,1,10.089743,10.179717
47523,352,27.395334,303,1,0,5.163868,0.484494
47663,353,17.947785,140,1,0,2.438184,0.476227
47671,354,-18.126688,8,0,1,3.825196,3.913759
47951,355,-62.934029,280,0,1,3.248447,4.196417
47973,356,-19.852771,22,0,1,6.495073,6.504270
48473,357,-29.459771,500,0,0,7.274843,0.924583
48698,358,28.075834,225,1,0,5.583200,0.499177
49067,359,-37.623334,369,0,1,4.768908,1.423702
49567,360,-55.883740,500,0,0,1.966797,1.051298
49768,361,-26.999176,201,0,1,5.332132,3.578941
49978,362,19.763786,210,1,0,2.647901,0.479832
50028,363,-21.447030,50,0,1,12.421407,12.075781
50297,364,-24.374648,269,0,1,5.427157,1.267138
50380,365,27.405275,83,1,0,2.826991,0.499117
50571,366,-16.889339,191,0,1,4.464242,1.513030
50787,367,6.954686,216,1,0,2.587335,0.493688
51287,368,-33.512476,500,0,0,5.995171,2.365747
51431,369,-27.755073,144,0,1,4.659308,3.373563
51810,370,-1.066328,379,1,0,4.822799,0.481586
52159,371,-38.995253,349,0,1,6.411843,1.257254
52245,372,-19.734667,86,0,1,7.119520,6.004384
52283,373,-17.381120,38,0,1,3.675622,2.720998
52783,374,-47.157938,500,0,0,6.441158,2.185002
52967,375,19.406241,184,1,0,3.233613,0.470039
53467,376,-52.761938,500,0,0,4.229802,1.023155
53595,377,30.246361,128,1,0,4.093971,0.490516
53679,378,-16.285568,84,0,1,5.170677,3.507872
53893,379,29.126304,214,1,0,4.519694,0.497857
53945,380,-17.221245,52,0,1,12.034174,10.799991
54003,381,28.157447,58,1,0,2.359616,0.493091
54066,382,-24.855854,63,0,1,3.215377,2.707600
54232,383,35.459211,166,1,0,5.387066,0.477403
54445,384,-24.294541,213,0,1,3.287230,0.861053
54526,385,29.177670,81,1,0,1.807842,0.494698
54600,386,-25.882970,74,0,1,8.034177,8.009023
54626,387,-23.249037,26,0,1,12.654785,12.669388
54837,388,17.548027,211,1,0,2.279476,0.481945
54917,389,30.363810,80,1,0,2.948747,0.456558
55027,390,29.186073,110,1,0,2.757238,0.497982
55224,391,33.269715,197,1,0,5.216079,0.479949
55316,392,31.127074,92,1,0,2.658541,0.494176
55362,393,28.849125,46,1,0,1.282315,0.499389
55478,394,-17.395298,116,0,1,3.546789,0.935350
55694,395,22.399366,216,1,0,3.783349,0.498898
55890,396,-37.208299,196,0,1,4.508759,2.980574
56071,397,30.636419,181,1,0,5.389027,0.449539
56338,398,24.886110,267,1,0,6.159248,0.479234
56483,399,33.575154,145,1,0,4.867111,0.487516
56525,400,-17.051822,42,0,1,6.020736,4.881546
56705,401,28.893592,180,1,0,5.263164,0.486343
57061,402,-22.366604,356,0,1,10.722865,3.543369
57069,403,-17.524582,8,0,1,7.253429,7.315328
57181,404,29.175246,112,1,0,3.545383,0.466793
57404,405,-27.771604,223,0,1,4.994627,2.762646
57551,406,27.667491,147,1,0,4.211422,0.497226
57660,407,29.341609,109,1,0,3.322412,0.497148
57701,408,31.463847,41,1,0,1.893743,0.486193
57966,409,-69.025891,265,0,1,11.306624,13.206579
57993,410,-23.796684,27,0,1,9.629477,9.632289
58073,411,32.891944,80,1,0,2.753410,0.480336
58269,412,-19.489513,196,0,1,8.888546,4.143769
58613,413,-24.289347,344,0,1,9.156203,1.212661
58620,414,-17.580935,7,0,1,4.019406,4.181851
