#{"t_start": 1773980391.1478367, "env_id": "None"}
r,l,t
-16.237596,9,9502.491561
-16.746789,172,9522.004806
25.983023,116,9535.916886
-17.90105,34,9541.601926
-11.646192,109,9554.799988
-17.350569,7,9557.802387
25.394209,126,9572.732085
34.897987,106,9585.650188
-17.887105,15,9589.451783
-15.205466,98,9601.860191
-0.342069,393,9643.491898
-16.432465,36,9649.395303
-16.134078,8,9652.49874
33.3427,144,9669.209659
-16.768157,11,9672.614454
-22.634164,244,9699.330535
-15.571387,166,9718.243944
34.6198,96,9730.150683
35.080937,139,9746.362759
-15.007186,322,9780.886631
33.66545,59,9789.093723
34.4071,119,9803.302892
-20.02335,19,9807.50532
23.91972,163,9826.116977
29.010404,182,9846.630816
30.516018,54,9854.336048
-16.126884,9,9857.539121
-19.401368,21,9861.941931
-16.981638,5,9864.743581
-20.145079,103,9877.350882
-20.96985,148,9894.461846
-28.919832,264,9923.186815
23.676569,111,9936.591449
-17.63925,12,9940.093921
-17.416097,155,9957.905337
37.334339,153,9975.816812
-29.943275,64,9984.522782
-76.776385,391,10025.952129
33.584851,198,10048.067589
-25.485413,179,10068.281371
24.966734,90,10079.588776
33.433707,83,10090.196616
-44.006094,314,10123.924581
32.947297,49,10131.12964
38.031127,133,10146.742998
28.063005,198,10168.86806
38.678118,136,10185.086954
-30.824476,71,10194.49533
-22.939644,55,10202.300181
-15.922034,12,10205.803734
-27.23014,47,10212.808856
29.215612,89,10224.016604
-18.672405,14,10227.719463
26.847939,47,10234.730661
29.346272,64,10243.440813
-17.706553,12,10246.943292
39.304951,213,10270.558336
31.095896,48,10277.663222
30.703979,86,10288.570833
42.659219,244,10315.288473
32.52852,194,10337.003122
-19.675945,64,10345.711217
-27.766652,94,10357.419282
29.485326,63,10366.027248
23.118464,232,10391.543046
33.865099,143,10408.152793
37.41055,267,10437.172208
-37.754428,169,10456.385605
37.89863,141,10472.796314
27.643286,143,10489.408136
31.929177,103,10502.015813
-16.335691,12,10505.518377
26.066956,63,10514.123991
-25.244613,173,10534.036693
34.171311,100,10546.344481
-16.532827,23,10550.948645
22.606097,208,10574.063801
30.97643,268,10603.184164
26.981414,32,10608.688374
33.202763,60,10616.993217
-26.215606,74,10626.698225
33.10363,108,10639.807517
-22.046316,42,10646.310925
32.048526,24,10651.014583
31.206821,49,10658.219033
32.635684,185,10679.031427
-22.795628,49,10686.236906
34.168108,83,10696.843048
29.645514,190,10718.156087
37.229783,152,10735.672209
-13.627122,126,10750.5986
-29.648671,500,10802.974082
6.858393,336,10838.901421
26.304462,45,10845.705655
37.604105,105,10858.515257
31.979048,78,10868.621197
-19.175496,13,10872.223574
31.418437,38,10878.329089
29.966088,86,10889.237164
-20.620261,64,10897.941966
34.833454,156,10915.854279
-16.66272,7,10918.856052
33.373306,89,10930.064927
27.92128,94,10942.071857
34.913635,109,10955.280882
34.785907,70,10964.586686
33.598444,230,10989.903125
31.077287,176,11009.817454
32.228066,74,11019.525775
34.477982,100,11031.833935
-40.368072,220,11056.451413
-17.629293,23,11061.055384
30.932952,84,11071.763467
26.107653,141,11088.175046
